literature_id,title,authors,year,publication_type,journal_or_source,source_database,doi,url,raw_file_path,screening_status,full_text_status,eligibility_decision,exclusion_reason,citation_leads_identified,notes
B02,"Jacob Mathew v. State of Punjab, (2005) 6 SCC 1",,2005,court_decision,Supreme Court of India,Indian Kanoon,,https://www.mondaq.com/india/professional-negligence/1157018/supreme-court-of-india-and-medical-negligence,,eligible,pending_retrieval,included,,,"Adopted Bolam test; criminal negligence requires gross negligence; expert opinion needed"
B03,"Kusum Sharma v. Batra Hospital, (2010) INSC 95",,2010,court_decision,Supreme Court of India,Indian Kanoon,,https://indiankanoon.org/doc/29738758/,,eligible,pending_retrieval,included,,,"Negligence not inferred from poor outcome; error of judgment not negligence if reasonable"
B04,"Malay Kumar Ganguly v. Dr. Sukumar Mukherjee, AIR 2010 SC 1162",,2009,court_decision,Supreme Court of India,Indian Kanoon,,,,eligible,pending_retrieval,included,,,"No guarantee of cure; adopting one accepted treatment mode not negligence"
B05,"P.B. Desai v. State of Maharashtra",,2013,court_decision,Supreme Court of India,Indian Kanoon,,https://indiankanoon.org/doc/93436383/,,eligible,pending_retrieval,included,,,"Distinguished professional misconduct from criminal negligence; reversed conviction"
B06,"Neeraj Sud v. Jaswinder Singh, (2024) INSC 825",,2024,court_decision,Supreme Court of India,CaseMine,,https://www.acmlegal.org/blog/clarifying-medical-negligence-supreme-court-ruling-in-neeraj-sud-vs-jaswinder-singh/,,eligible,pending_retrieval,included,,,"Most recent Bolam reaffirmation; post-surgical deterioration not negligence without departure from standards"
B07,"Diving Deep: Bolam and Bolitho Tests in the Evaluation of Medical Negligence in India",,,,journal_article,International Journal of Law Management and Humanities,Google Scholar,,https://ijlmh.com/paper/diving-deep-bolam-and-bolitho-tests-in-the-evaluation-of-medical-negligence-in-india/,,eligible,pending_retrieval,included,,,"Analysis of Bolam and Bolitho refinement in Indian courts"
B08,"Medical negligence and law: application of the Bolam and Bolitho rules in India",,,,institutional_publication,IIM Ahmedabad,Google Scholar,,https://www.iima.ac.in/publication/medical-negligence-and-law-application-bolam-and-bolitho-rules-india,,eligible,pending_retrieval,included,,,"Policy/management perspective on Bolam and Bolitho application"
B09,"Medical negligence liability under the consumer protection act: A review of judicial perspective",,,,journal_article,Indian Journal of Urology (PMC),PubMed,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2779962/,,eligible,pending_retrieval,included,,,"Judicial interpretation of medical negligence under CPA"
B10,"Medical negligence: Coverage of the profession duties ethics case law and enlightened defense",,,,journal_article,Indian Journal of Urology (PMC),PubMed,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2779963/,,eligible,pending_retrieval,included,,,"Comprehensive legal landscape; duties ethical standards defense strategies"
B11,"The Consumer Protection Act 2019: A critical analysis from a medical practitioners perspective",,,,journal_article,Indian Journal of Medical Ethics,Google Scholar,,https://ijme.in/articles/comment-the-consumer-protection-act-2019-a-critical-analysis-from-a-medical-practitioners-perspective/,,eligible,pending_retrieval,included,,,"CPA 2019 Section 2(11) deficiency in service includes negligence; 2-year limitation"
B12,"Legal mechanisms and procedures in alleged medical negligence: A review of Indian laws and judgments",,2024,review,The National Medical Journal of India,Google Scholar,,https://nmji.in/legal-mechanisms-and-procedures-in-alleged-medical-negligence-a-review-of-indian-laws-and-judgments/,,eligible,pending_retrieval,included,,,"Systematic overview of legal mechanisms for patients alleging negligence"
B13,"Quotable Supreme Court Judgments on Medical Negligence",,2025,review,Kerala Journal of Ophthalmology,PubMed,,https://journals.lww.com/kjop/fulltext/2025/05000/quotable_supreme_court_judgments_on_medical.6.aspx,,eligible,pending_retrieval,included,,,"Compilation of key judicial dicta organized thematically"
C01,"Medical Negligence in Cases Decided by the NCDRC: A Five-Year Retrospective Review",,2023,journal_article,Indian Journal of Medical Ethics,Google Scholar,,https://ijme.in/articles/medical-negligence-in-cases-decided-by-the-national-consumer-disputes-redressal-commission-a-five-year-retrospective-review/,,eligible,pending_retrieval,included,,,"253 NCDRC cases 2015-2019; negligence proved 53%; wrong diagnosis as deficiency"
C02,"Medical Negligence or Diagnostic Conundrum? A Medico-Legal Case Study",,2002,case_report,PubMed (PMID 12437194),PubMed,,https://pubmed.ncbi.nlm.nih.gov/12437194/,,eligible,pending_retrieval,included,,,"FNAC malignant diagnosis; histopathology benign phyllodes; consumer court Rs 19 lakh"
C03,"A 10-Year Review of Judgments on Alleged Medical Negligence Cases by the Supreme Court of India",,2024,journal_article,Journal of Indian Academy of Forensic Medicine,ResearchGate,,https://www.researchgate.net/publication/381760941,,eligible,pending_retrieval,included,,,"29 SC cases; medical records decisive in 87.5% of favorable verdicts"
C04,"Can Research Articles Published in Medical Journals be Used as Expert Evidence in Medical Negligence Cases?","Sethi A, Shringarpure K",2025,journal_article,Avicenna Journal of Medicine (PMC),PubMed,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12088802/,,eligible,pending_retrieval,included,,,"26 judgments; 27% verdicts favored doctor; journal impact factor irrelevant"
C05,"Impact of Review of Histopathology Specimens at a Tertiary Oncology Hospital in Eastern India",,2022,journal_article,PMC,PubMed,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9470176/,,eligible,pending_retrieval,included,,,"Diagnostic discrepancies upon histopathology review at Indian oncology center"
C06,"Medical Negligence Claims Against Indian Neurosurgeons and Neurologists — NCDRC Records Review",,2025,journal_article,Egyptian Journal of Neurosurgery,Google Scholar,,https://ejns.springeropen.com/articles/10.1186/s41984-025-00341-9,,eligible,pending_retrieval,included,,,"942 NCDRC cases 2002-2018; methodology model for specialty-specific analysis"
C07,"Consumer court cases on medical negligence (Excel dataset)",,2023,dataset,Indian Journal of Medical Ethics,IJME,,https://ijme.in/wp-content/uploads/2023/03/Consumer-court-cases-on-medical-negligence.xlsx,,eligible,pending_retrieval,included,,,"Downloadable dataset; potentially filterable for pathology/lab cases"
C08,"Lifeline Laboratory — wrong blood group report",,,,consumer_court_decision,NCDRC,Moneylife,,https://moneylife.in/article/wrong-blood-group-ncdrc-reduces-rs20-lakh-compensation/71112.html,,eligible,pending_retrieval,included,,,Wrong blood group report; kidney transplant deferred; Rs 4 lakh compensation
C09,"NCDRC upholds compensation for erroneous diagnostic report",,,,consumer_court_decision,NCDRC,Medical Dialogues,,https://medicaldialogues.in/news/health/medico-legal/negligence-in-diagnosis-issued-erroneous-report-ncdrc-upholds-compensation-order-137998,,eligible,pending_retrieval,included,,,"Negligent diagnosis; erroneous reports; unnecessary tests"
C10,"Dr Lal Pathlabs — erroneous lab report causing unnecessary hospitalization",,,,consumer_court_decision,NCDRC/DCDRC,Medical Dialogues,,https://medicaldialogues.in/news/health/medico-legal/unnecessary-emergency-hospitalisation-due-to-erroneous-lab-report-dr-lal-pathlabs-slapped-rs-35-lakh-compensation-150505,,eligible,pending_retrieval,included,,,"Erroneous lab report; unnecessary emergency hospitalization; Rs 3.5 lakh"
C11,"Mumbai breast cancer misdiagnosis (histopathology error)",,,,news_report,DNA India,Google Scholar,,https://www.dnaindia.com/mumbai/report-dna-exclusive-mumbai-woman-wrongly-diagnosed-and-operated-for-breast-cancer-sues-doctor-1958042,,eligible,pending_retrieval,included,,,"Wrong breast cancer diagnosis from histopathology; mastectomy; Rs 50 lakh claimed"
C12,"Nagpur lab — compensation for wrong reports",,,,consumer_court_decision,Consumer Court,MedTechAsia,,https://medtechasia.in/nagpur-lab-asked-to-compensate-monetarily-for-giving-wrong-reports-2/,,eligible,pending_retrieval,included,,,"Lab ordered to compensate for wrong diagnostic reports"
D01,"The detection and prevention of errors in laboratory medicine",Plebani M,2010,journal_article,Annals of Clinical Biochemistry,PubMed,,https://pubmed.ncbi.nlm.nih.gov/19952034/,,eligible,pending_retrieval,included,,,"Pre-analytical 46-68%; analytical 7-13%; total testing process concept"
D02,"Errors in clinical laboratories or errors in laboratory medicine?",Plebani M,2006,journal_article,Clinical Chemistry and Laboratory Medicine,PubMed,,https://pubmed.ncbi.nlm.nih.gov/16729864/,,eligible,pending_retrieval,included,,,"Expanded quality frameworks beyond analytical phase to entire diagnostic cycle"
D03,"Pre-pre and post-post analytical error: high-incidence patient safety hazards","Lippi G, Guidi GC",2007,journal_article,Clinical Chemistry and Laboratory Medicine,PubMed,,https://pubmed.ncbi.nlm.nih.gov/17579522/,,eligible,pending_retrieval,included,,,"Extended taxonomy to pre-pre-analytical and post-post-analytical errors"
D04,"Classification of error in anatomic pathology: A proposal for an evidence-based standard",Raab SS et al.,2006,journal_article,Advances in Anatomic Pathology,PubMed,,,,eligible,pending_retrieval,included,,,"Four categories: misinterpretations misidentifications specimen defects report defects"
D05,"Detection and classification of diagnostic discrepancies (errors) in surgical pathology",Raab SS et al.,2010,journal_article,Advances in Anatomic Pathology,PubMed,,https://pubmed.ncbi.nlm.nih.gov/20733354/,,eligible,pending_retrieval,included,,,"Error rates 1.7-3.7%; major 0.3-0.5%; minor 1.2-3.3%"
D06,"Error detection in anatomic pathology",Nakhleh RE,2005,journal_article,Archives of Pathology & Laboratory Medicine,PubMed,,https://pubmed.ncbi.nlm.nih.gov/16196511/,,eligible,pending_retrieval,included,,,"Multiple detection methodologies; rates vary substantially by method"
D07,"Errors in laboratory medicine: practical lessons to improve patient safety (Q-Probes and Q-Tracks 15 years)",Howanitz PJ,2005,journal_article,Archives of Pathology & Laboratory Medicine,PubMed,,https://www.researchgate.net/publication/8171058,,eligible,pending_retrieval,included,,,"15 years CAP Q-Probes Q-Tracks; continuous assessment lowers error rates"
D08,"Interpretive Diagnostic Error Reduction in Surgical Pathology and Cytology: CAP/ADASP Guideline",Meier FA et al.,2016,guideline,Archives of Pathology & Laboratory Medicine,PubMed,,https://pubmed.ncbi.nlm.nih.gov/25965939/,,eligible,pending_retrieval,included,,,"Evidence-based guideline; case review procedures for interpretive error detection"
D09,"Surgical Pathology Report Defects: A CAP Q-Probes Study",,2014,journal_article,Archives of Pathology & Laboratory Medicine,PubMed,,https://aplm.kglmeridian.com/view/journals/arpa/138/5/article-p602.xml,,eligible,pending_retrieval,included,,,"360218 cases; defect rate 4.7/1000; pre-sign-out review reduces amended reports"
D10,"NABL ISO 15189 Accreditation for Medical Laboratories",NABL / Quality Council of India,,standard,Quality Council of India,NABL,,https://nabl-india.org/,,eligible,pending_retrieval,included,,,"Indian accreditation body; transition to ISO 15189:2022 by December 2025"
D11,"Improving Diagnosis in Health Care",National Academies of Sciences Engineering and Medicine,2015,report,National Academies Press,NAP,,https://www.nationalacademies.org/read/21794/chapter/2,,eligible,pending_retrieval,included,,,"Defined diagnostic error; framework relating process errors to outcomes; includes pathology"
D12,"Mandatory second opinion surgical pathology at a large referral hospital","Kronz JD, Westra WH, Epstein JI",1999,journal_article,Cancer,PubMed,,https://www.researchgate.net/publication/5492654,,eligible,pending_retrieval,included,,,"1.4% major diagnostic disagreements; changes in clinical management"
D13,"Second Opinion Reviews for Cancer Diagnoses in Anatomic Pathology",Middleton LP et al.,2018,journal_article,Anticancer Research,PubMed,,https://ar.iiarjournals.org/content/38/5/2989,,eligible,pending_retrieval,included,,,"8191 cases; overall discordance 14.2% (2.2% major 12.0% minor)"
D14,"Assessing the value of second opinion pathology review",Chaudry A et al.,2021,journal_article,International Journal for Quality in Health Care,PubMed,,https://academic.oup.com/intqhc/article/33/1/mzab032/6153784,,eligible,pending_retrieval,included,,,"Clinically significant discrepancy detection; improved patient outcomes"
D15,"Patient Safety in Laboratory Medicine","Lippi G, Plebani M",2022,book_chapter,Springer (Textbook of Patient Safety),PubMed,,https://www.ncbi.nlm.nih.gov/books/NBK585627/,,eligible,pending_retrieval,included,,,"70% medical decisions involve lab data; ISO 15189 as foundational QA step"
E01,"Risk Management in Pathology",Nakhleh RE,2006,journal_article,Journal of Clinical Pathology,PubMed,,https://pmc.ncbi.nlm.nih.gov/articles/PMC1769896/,,eligible,pending_retrieval,included,,,"Quality reports as primary defense; synoptic reporting; communication protocols"
E02,"Risk Management and Compliance in Pathology and Laboratory Medicine",Nakhleh RE,2007,journal_article,Clinics in Laboratory Medicine,PubMed,,https://www.sciencedirect.com/science/article/abs/pii/S0272271207000911,,eligible,pending_retrieval,included,,,"Government standards; malpractice litigation response; expert testimony standards"
E03,"Risk Management in a Clinical Pathology Laboratory: A Tertiary Care Experience",Mehta P et al.,2024,journal_article,Indian Journal of Pathology and Microbiology,PubMed,,https://journals.lww.com/ijpm/fulltext/2024/67030/risk_management_in_a_clinical_pathology.19.aspx,,eligible,pending_retrieval,included,,,"Indian study; inadequate sample-to-anticoagulant ratio highest probability 22.85%"
E04,"Medicolegal Aspects of Error in Pathology",,2006,journal_article,Archives of Pathology & Laboratory Medicine,PubMed,,https://meridian.allenpress.com/aplm/article/130/5/617/459837,,eligible,pending_retrieval,included,,,"International framework for specimen handling diagnostic interpretation reporting"
E05,"Patient Safety Issues in Pathology: From Mislabeled Specimens to Interpretation Errors",,,,book_chapter,IntechOpen,Google Scholar,,https://www.intechopen.com/chapters/62892,,eligible,pending_retrieval,included,,,"Specimen mislabeling handling errors interpretation errors leading to liability"
E06,"Some Common Pathology Risks Leading to Medical Negligence",,,,industry_article,CoverYou (India),Google Scholar,,https://www.coveryou.in/blog/some-common-pathology-risks-leading-to-medical-negligence/,,eligible,pending_retrieval,included,,,"Common pathology risks from professional indemnity insurance perspective"
E07,"Study Claims Widespread Malpractice in Pathology Labs (India)",,2020,news_report,The Week (India),Google Scholar,,https://www.theweek.in/news/health/2020/01/04/study-claims-widespread-malpractice-in-path-labs.html,,eligible,pending_retrieval,included,,,"Systemic issues: doctor-lab commissions sink tests fabricated results"
F01,"Medical Negligence in Cases Decided by the NCDRC: A Five-Year Retrospective Review",,2023,journal_article,Indian Journal of Medical Ethics,Google Scholar,,https://ijme.in/articles/medical-negligence-in-cases-decided-by-the-national-consumer-disputes-redressal-commission-a-five-year-retrospective-review/,,eligible,pending_retrieval,included,,,"253 cases 2015-2019; negligence 53%; lack of skill 36%; deficient records 22%; max Rs 1.38 crore"
F02,"Study of Medical Negligence Cases Decided by the State Consumer Disputes Redressal Commissions of Chandigarh Punjab and Haryana","Modgil V, Dasari H, Singh A",2021,journal_article,Journal of Indian Academy of Forensic Medicine,Google Scholar,,https://journals.sagepub.com/doi/abs/10.5958/0974-0848.2021.00038.5,,eligible,pending_retrieval,included,,,"89 cases over 2.5 years; state commission level patterns"
F03,"A Study of Medical Negligence Cases Decided by the District Consumer Courts of Delhi","Yadav M, Rastogi P",2015,journal_article,Journal of Indian Academy of Forensic Medicine,Google Scholar,,https://journals.sagepub.com/doi/abs/10.5958/0974-0848.2015.00011.1,,eligible,pending_retrieval,included,,,"District court level data; types of claims and outcomes in Delhi"
F04,"Alarming Rise in Consumer Cases/Medical Malpractice Claims",,2023,commentary,Indian Journal of Ophthalmology,PubMed,,https://journals.lww.com/ijo/fulltext/2023/03000/alarming_rise_in_consumer_cases_medical.86.aspx,,eligible,pending_retrieval,included,,,"Upward trend in malpractice claims; growing patient legal awareness"
F05,"Expert Evidence Crucial in Medical Negligence Cases: NCDRC",,2024,legal_report,LiveLaw,LiveLaw,,https://www.livelaw.in/consumer-cases/ncdrc-ruling-expert-evidence-and-medical-negligence-cases-270816,,eligible,pending_retrieval,included,,,"Expert evidence required; exceptions under res ipsa loquitur"
F06,"Are Deaths Due to Medical Negligence Decreasing in India?",,2024,journal_article,ResearchGate,ResearchGate,,https://www.researchgate.net/publication/398951772,,eligible,pending_retrieval,included,,,"NCRB data 2017-2023; 1133 deaths; highest 218 in 2018"
F07,"A Review of Landmark Judgments on Medical Negligence",,2024,review,Telangana Journal of IMA (LWW),PubMed,,https://journals.lww.com/tjima/fulltext/2024/04010/a_review_of_landmark_judgments_on_medical.7.aspx,,eligible,pending_retrieval,included,,,"Review of landmark Indian judicial decisions on medical negligence"
F08,"Medical Negligence: Indian Scenario",,2014,journal_article,ScienceDirect,ScienceDirect,,https://www.sciencedirect.com/science/article/abs/pii/S0973050814000483,,eligible,pending_retrieval,included,,,"Overview of Indian medical negligence landscape since CPA inclusion"
